"tokenId","sender","price","timestamp"
"OTK090-174","terra1nfusxy5lt3vtc9gh7p4neq37e3gww0p29l5knc","49uusd","2022-04-23T00:54:57Z"
"OTK034-85","terra1hue79xtuzk04gqujqlsysc5sfcrwquhvv4kzfn","80uusd","2022-04-23T00:50:47Z"
"OTK066-177","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","42uusd","2022-04-22T22:42:39Z"
"OTK099-7","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","7.5uusd","2022-04-22T22:18:20Z"
"OTK096-119","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","7.5uusd","2022-04-22T22:14:56Z"
"OTK095-156","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","4uusd","2022-04-22T21:58:25Z"
"OTK122-97","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","11uusd","2022-04-22T21:57:40Z"
"OTK103-216","terra14sjmjfm9y9yly50nllqwsqhjx94lskdjwzy9qe","9uusd","2022-04-22T21:34:23Z"
"OTK153-21","terra14sjmjfm9y9yly50nllqwsqhjx94lskdjwzy9qe","13uusd","2022-04-22T21:33:37Z"
"OTK152-271","terra14sjmjfm9y9yly50nllqwsqhjx94lskdjwzy9qe","10uusd","2022-04-22T21:32:45Z"
"OTK102-412","terra14sjmjfm9y9yly50nllqwsqhjx94lskdjwzy9qe","7uusd","2022-04-22T21:28:35Z"
"OTK057-3","terra1eps6km2s7uvpgegjwu2qc4xttphhsecdsd87ry","195uusd","2022-04-22T21:27:49Z"
"OTK102-157","terra14sjmjfm9y9yly50nllqwsqhjx94lskdjwzy9qe","4uusd","2022-04-22T21:26:51Z"
"OTK085-54","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","9uusd","2022-04-22T21:19:16Z"
"OTK159-119","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","4uusd","2022-04-22T21:15:12Z"
"OTK120-154","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","4uusd","2022-04-22T21:10:41Z"
"OTK157-156","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","4uusd","2022-04-22T21:07:51Z"
"OTK095-154","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","4uusd","2022-04-22T21:07:37Z"
"OTK155-155","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","4uusd","2022-04-22T21:07:05Z"
"OTK077-55","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","9uusd","2022-04-22T21:06:53Z"
"OTK114-156","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","4uusd","2022-04-22T21:06:19Z"
"OTK151-154","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","4uusd","2022-04-22T21:05:44Z"
"OTK117-155","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","4uusd","2022-04-22T21:04:57Z"
"OTK158-136","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","4uusd","2022-04-22T21:04:37Z"
"OTK094-155","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","4uusd","2022-04-22T21:03:18Z"
"OTK092-157","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","4uusd","2022-04-22T21:02:19Z"
"OTK143-8","terra1jh876grj729q8tuxadefudklv66sq079myycyh","4uusd","2022-04-22T20:58:33Z"
"OTK040-50","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","89uusd","2022-04-22T20:54:34Z"
"OTK139-16","terra1jh876grj729q8tuxadefudklv66sq079myycyh","25uusd","2022-04-22T20:53:06Z"
"OTK049-23","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","49uusd","2022-04-22T20:51:52Z"
"OTK070-54","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","9uusd","2022-04-22T20:50:20Z"
"OTK046-30","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","49uusd","2022-04-22T20:50:07Z"
"OTK046-28","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","49uusd","2022-04-22T20:49:46Z"
"OTK084-55","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","9uusd","2022-04-22T20:49:00Z"
"OTK084-54","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","9uusd","2022-04-22T20:48:34Z"
"OTK080-55","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","9uusd","2022-04-22T20:47:43Z"
"OTK139-53","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","9uusd","2022-04-22T20:45:23Z"
"OTK065-55","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","9uusd","2022-04-22T20:44:36Z"
"OTK063-55","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","9uusd","2022-04-22T20:43:43Z"
"OTK041-36","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","49uusd","2022-04-22T20:43:17Z"
"OTK052-27","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","49uusd","2022-04-22T20:42:11Z"
"OTK131-111","terra1uym5gel62w0g5smmdcfg8auzt3s3nsyuah3aw0","90uusd","2022-04-22T20:40:33Z"
"OTK156-495","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","7.5uusd","2022-04-22T20:29:24Z"
"OTK137-87","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","50uusd","2022-04-22T20:28:32Z"
"OTK150-107","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","7.49uusd","2022-04-22T20:27:33Z"
"OTK099-107","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","7.49uusd","2022-04-22T20:26:27Z"
"OTK122-150","terra1pzx4ghefhqzh6xy8czgmkhvf8hrfntznfg58vf","10uusd","2022-04-22T20:25:55Z"
"OTK101-12","terra1a9pue6q97fvsfjegajhxsv74x8t0yx5dqrue5l","8uusd","2022-04-22T20:21:47Z"
"OTK040-5","terra1a9pue6q97fvsfjegajhxsv74x8t0yx5dqrue5l","80uusd","2022-04-22T20:03:22Z"
"OTK070-134","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","19uusd","2022-04-22T20:01:11Z"
"OTK122-177","terra1pzx4ghefhqzh6xy8czgmkhvf8hrfntznfg58vf","9uusd","2022-04-22T20:00:17Z"
"OTK073-144","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","25uusd","2022-04-22T19:59:45Z"
"OTK136-40","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","55uusd","2022-04-22T19:55:08Z"
"OTK098-102","terra1a9pue6q97fvsfjegajhxsv74x8t0yx5dqrue5l","7.99uusd","2022-04-22T19:47:25Z"
"OTK136-111","terra1252u8yqheu83n4xcdtvt6vt34q68uh2us385de","40uusd","2022-04-22T19:45:25Z"
